;;Nom ;Prénom;Type de chambre DOBLE =couple /TWIN/DUI;DNI  /CNI ou passeport;FECHA de fin  DNI;;;;;;;;
1;;;;DOBLE;;;;;;;;;;
2;;;;;;;;;;;;;;
3;;;;DOBLE;;;;;;;;;;
4;;;;;;;;;;;;;;
5;;;;DOBLE;;;;;;;;;;
6;;;;;;;;;;;;;;
7;;;;DOBLE;;;;;;;;;;
8;;;;;;;;;;;;;;
9;;;;DOBLE;;;;;;;;;;
10;;;;;;;;;;;;;;
11;;;;DOBLE;;;;;;;;;;
12;;;;;;;;;;;;;;
13;;;;DOBLE;;;;;;;;;;
14;;;;;;;;;;;;;;
15;;;;DOBLE;;;;;;;;;;
16;;;;;;;;;;;;;;
17;;;;DOBLE;;;;;;;;;;
18;;;;;;;;;;;;;;
19;;;;DOBLE;;;;;;;;;;
20;;;;;;;;;;;;;;
21;;;;DOBLE;;;;;;;;;;
22;;;;;;;;;;;;;;
23;;;;DOBLE;;;;;;;;;;
24;;;;;;;;;;;;;;
25;;;;TWIN;;;;;;;;;;
26;;;;;;;;;;;;;;
27;;;;TWIN;;;;;;;;;;
28;;;;;;;;;;;;;;
29;;;;TWIN;;;;;;;;;;
30;;;;;;;;;;;;;;
31;;;;TWIN;;;;;;;;;;
32;;;;;;;;;;;;;;
33;;;;TWIN;;;;;;;;;;
34;;;;;;;;;;;;;;
35;;;;TWIN;;;;;;;;;;
36;;;;;;;;;;;;;;
37;;;;TWIN;;;;;;;;;;
38;;;;;;;;;;;;;;
39;;;;TWIN;;;;;;;;;;
40;;;;;;;;;;;;;;
41;;;;TWIN;;;;;;;;;;
42;;;;;;;;;;;;;;
43;;;;;;;;;;;;;;
44;;;;Individual;;;;;;;;;;
45;;;;Individual;;;;;;;;;;
46;;;;;;;;;;;;;;
47;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;
49;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;
52;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;
56;;;;;;;;;;;;;;
;GUIA;;;Individual;;;;;;;;;;
;     CONDUCTOR;;;Individual;;;;;;;;;;
;;;;;;;;;;;;;;
;14 DOBLES ;4   TWIN;1   TRIPLE ;3  INDIVIDUALES;2  INDIVIDUALES   Conductor y Guia;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
